Power supply (mv),Hall Probe (mv)
0.1,6.6
2.6,14.8
5.0,23.4
7.5,32.3
10.2,42.3
12.5,51.1
15.0,60.4
17.4,69.8
20.0,79.5
22.6,89.6
25.0,99.8
27.6,109.7
30.0,119.1
32.5,129.2
35.0,139.1
37.6,149.4
40.0,159.8
42.5,169.3
45.0,179.6
47.6,190.0
50.1,200.2
52.6,210.1
55.2,220.7
57.4,229.5
60.0,239.5
62.5,249.3
65.1,261.1
67.5,269.8
70.1,279.3
72.4,288.6
75.0,298.6
77.5,308
80.0,317
82.5,328
85.0,337
87.5,347
90.0,357


