[[1.30143396e+03 7.65566044e+02 4.51643811e+00]
 [1.21740594e+03 8.49594063e+02 7.32580867e+00]
 [1.19139726e+03 8.75602735e+02 4.50427032e+00]
 [1.10236758e+03 9.64632422e+02 2.00258669e+00]
 [9.53236757e+02 1.11376324e+03 8.65655833e+01]
 [9.47315877e+02 1.11968412e+03 5.55963563e+00]
 [8.01267178e+02 1.26573282e+03 2.46479320e+00]
 [6.80226818e+02 1.38677318e+03 1.33147021e+00]
 [6.03201134e+02 1.46379887e+03 6.01370151e+00]
 [5.93197799e+02 1.47380220e+03 6.22169386e+00]
 [5.63187792e+02 1.50381221e+03 5.21136749e+00]
 [4.83161107e+02 1.58383889e+03 3.48504737e+00]]
