Power supply (mv),Hall Probe (mv)
0,7.1
5,24.1
10.1,42.5
15.1,61.2
20,79.6
25,99.8
30,119
34.9,139.5
40,159.6
45,179.7
50,200.4
61,244.4
2.5,15.5
7.5,32.7
12.5,51
17.5,70.2
22.4,89.2
27.4,109.4
32.5,128.9
37.5,149
42.5,169.4
47.6,189.9
