[[1322.7354066   744.2645934    99.99639767]
 [1302.43428953  764.56571047   24.92894895]
 [1102.36757839  964.63242161   28.06402327]
 [ 946.3155437  1120.6844563    27.36710915]
 [ 801.26717812 1265.73282188   21.40757834]
 [ 680.22681788 1386.77318212   19.27048274]
 [ 563.18779186 1503.81220814   28.28013218]
 [ 483.1611074  1583.8388926    99.99993034]
 [ 463.15443629 1603.84556371   10.4433041 ]
 [ 387.12908606 1679.87091394    6.45484959]]
