[[1279.42661775  745.57338225   49.37237169]
 [1230.41027352  794.58972648   42.93002073]
 [1089.36324216  935.63675784   33.52346145]
 [ 937.31254169 1087.68745831   41.15832274]
 [ 790.26350901 1234.73649099   27.94046347]
 [ 663.22114743 1361.77885257   26.2335745 ]
 [ 600.9106462  1424.0893538   100.        ]
 [ 575.19179453 1449.80820547    4.80067883]
 [ 544.1814543  1480.8185457     8.10219141]]
